x,y,label,plot_path,audio_path
9.214315,-2.4190347,-1,data/analysis/bhairaviTransposed/plots/pa/ma_0_ma.png,data/analysis/bhairaviTransposed/plots/pa/ma_0_ma.wav
9.634589,-2.1537395,2,data/analysis/bhairaviTransposed/plots/pa/ma_1_ma.png,data/analysis/bhairaviTransposed/plots/pa/ma_1_ma.wav
1.9217415,-0.8612886,-1,data/analysis/bhairaviTransposed/plots/pa/ma_2_ma.png,data/analysis/bhairaviTransposed/plots/pa/ma_2_ma.wav
1.9371945,-0.8015067,2,data/analysis/bhairaviTransposed/plots/pa/ma_3_ma.png,data/analysis/bhairaviTransposed/plots/pa/ma_3_ma.wav
9.0482235,-5.228541,-1,data/analysis/bhairaviTransposed/plots/pa/ma_4_dha.png,data/analysis/bhairaviTransposed/plots/pa/ma_4_dha.wav
2.8399162,13.13539,3,data/analysis/bhairaviTransposed/plots/pa/dha_5_ma.png,data/analysis/bhairaviTransposed/plots/pa/dha_5_ma.wav
1.833823,-0.93826634,-1,data/analysis/bhairaviTransposed/plots/pa/ma_6_ma.png,data/analysis/bhairaviTransposed/plots/pa/ma_6_ma.wav
-1.6863595,-4.0130887,3,data/analysis/bhairaviTransposed/plots/pa/ma_7_dha.png,data/analysis/bhairaviTransposed/plots/pa/ma_7_dha.wav
2.324751,12.973477,3,data/analysis/bhairaviTransposed/plots/pa/dha_8_ma.png,data/analysis/bhairaviTransposed/plots/pa/dha_8_ma.wav
0.9481995,7.443262,-1,data/analysis/bhairaviTransposed/plots/pa/ma_9_ga.png,data/analysis/bhairaviTransposed/plots/pa/ma_9_ga.wav
-1.9109173,-3.5775251,-1,data/analysis/bhairaviTransposed/plots/pa/ma_10_dha.png,data/analysis/bhairaviTransposed/plots/pa/ma_10_dha.wav
0.9498982,7.4317822,-1,data/analysis/bhairaviTransposed/plots/pa/ma_11_ga.png,data/analysis/bhairaviTransposed/plots/pa/ma_11_ga.wav
9.112666,-5.5185833,4,data/analysis/bhairaviTransposed/plots/pa/ma_12_dha.png,data/analysis/bhairaviTransposed/plots/pa/ma_12_dha.wav
1.9086728,-1.4218125,-1,data/analysis/bhairaviTransposed/plots/pa/pa_13_ma.png,data/analysis/bhairaviTransposed/plots/pa/pa_13_ma.wav
-2.289875,-0.8889745,-1,data/analysis/bhairaviTransposed/plots/pa/ma_14_ga.png,data/analysis/bhairaviTransposed/plots/pa/ma_14_ga.wav
9.199192,-5.645504,4,data/analysis/bhairaviTransposed/plots/pa/ma_15_dha.png,data/analysis/bhairaviTransposed/plots/pa/ma_15_dha.wav
8.752473,-2.7411237,-1,data/analysis/bhairaviTransposed/plots/pa/ma_16_dha.png,data/analysis/bhairaviTransposed/plots/pa/ma_16_dha.wav
1.160802,9.193528,3,data/analysis/bhairaviTransposed/plots/pa/ma_17_ni.png,data/analysis/bhairaviTransposed/plots/pa/ma_17_ni.wav
2.2832892,13.300421,3,data/analysis/bhairaviTransposed/plots/pa/dha_18_ma.png,data/analysis/bhairaviTransposed/plots/pa/dha_18_ma.wav
7.9655375,-2.8761997,3,data/analysis/bhairaviTransposed/plots/pa/ma_19_ni.png,data/analysis/bhairaviTransposed/plots/pa/ma_19_ni.wav
1.2827915,10.622166,3,data/analysis/bhairaviTransposed/plots/pa/dha_20_ma.png,data/analysis/bhairaviTransposed/plots/pa/dha_20_ma.wav
1.8829105,10.512765,3,data/analysis/bhairaviTransposed/plots/pa/ma_21_ni.png,data/analysis/bhairaviTransposed/plots/pa/ma_21_ni.wav
1.1423064,10.716984,3,data/analysis/bhairaviTransposed/plots/pa/ma_22_dha.png,data/analysis/bhairaviTransposed/plots/pa/ma_22_dha.wav
0.96369773,10.245473,3,data/analysis/bhairaviTransposed/plots/pa/ma_23_ni.png,data/analysis/bhairaviTransposed/plots/pa/ma_23_ni.wav
2.9511147,13.234025,3,data/analysis/bhairaviTransposed/plots/pa/ma_24_dha.png,data/analysis/bhairaviTransposed/plots/pa/ma_24_dha.wav
-1.602385,-4.1286106,-1,data/analysis/bhairaviTransposed/plots/pa/dha_25_ma.png,data/analysis/bhairaviTransposed/plots/pa/dha_25_ma.wav
-1.2904599,2.2469685,-1,data/analysis/bhairaviTransposed/plots/pa/ma_26_ga.png,data/analysis/bhairaviTransposed/plots/pa/ma_26_ga.wav
-1.4187585,1.4597737,-1,data/analysis/bhairaviTransposed/plots/pa/ga_27_ma.png,data/analysis/bhairaviTransposed/plots/pa/ga_27_ma.wav
0.17572826,5.534402,0,data/analysis/bhairaviTransposed/plots/pa/sa_28_sa.png,data/analysis/bhairaviTransposed/plots/pa/sa_28_sa.wav
3.6811588,12.53373,3,data/analysis/bhairaviTransposed/plots/pa/dha_29_ma.png,data/analysis/bhairaviTransposed/plots/pa/dha_29_ma.wav
1.3715452,9.430142,3,data/analysis/bhairaviTransposed/plots/pa/sa_30_ma.png,data/analysis/bhairaviTransposed/plots/pa/sa_30_ma.wav
4.2350616,12.0344515,3,data/analysis/bhairaviTransposed/plots/pa/dha_31_ma.png,data/analysis/bhairaviTransposed/plots/pa/dha_31_ma.wav
7.9279637,-2.7550817,3,data/analysis/bhairaviTransposed/plots/pa/ma_32_ni.png,data/analysis/bhairaviTransposed/plots/pa/ma_32_ni.wav
6.2988605,8.186818,3,data/analysis/bhairaviTransposed/plots/pa/ma_33_dha.png,data/analysis/bhairaviTransposed/plots/pa/ma_33_dha.wav
6.2734904,8.213672,3,data/analysis/bhairaviTransposed/plots/pa/dha_34_ma.png,data/analysis/bhairaviTransposed/plots/pa/dha_34_ma.wav
1.2348366,9.108464,3,data/analysis/bhairaviTransposed/plots/pa/silence_35_dha.png,data/analysis/bhairaviTransposed/plots/pa/silence_35_dha.wav
6.5652514,-2.8402326,3,data/analysis/bhairaviTransposed/plots/pa/ma_36_ni.png,data/analysis/bhairaviTransposed/plots/pa/ma_36_ni.wav
6.078081,8.394065,3,data/analysis/bhairaviTransposed/plots/pa/ma_37_dha.png,data/analysis/bhairaviTransposed/plots/pa/ma_37_dha.wav
2.0605133,13.123549,3,data/analysis/bhairaviTransposed/plots/pa/dha_38_ma.png,data/analysis/bhairaviTransposed/plots/pa/dha_38_ma.wav
6.7117004,-2.332405,3,data/analysis/bhairaviTransposed/plots/pa/ma_39_ni.png,data/analysis/bhairaviTransposed/plots/pa/ma_39_ni.wav
7.5692673,-3.0325544,3,data/analysis/bhairaviTransposed/plots/pa/ma_40_dha.png,data/analysis/bhairaviTransposed/plots/pa/ma_40_dha.wav
-1.5230885,-4.206302,3,data/analysis/bhairaviTransposed/plots/pa/ma_41_ni.png,data/analysis/bhairaviTransposed/plots/pa/ma_41_ni.wav
6.510838,-2.8970048,3,data/analysis/bhairaviTransposed/plots/pa/ma_42_dha.png,data/analysis/bhairaviTransposed/plots/pa/ma_42_dha.wav
6.7951875,-3.2668009,3,data/analysis/bhairaviTransposed/plots/pa/ma_43_silence.png,data/analysis/bhairaviTransposed/plots/pa/ma_43_silence.wav
-2.5041142,-1.4457495,-1,data/analysis/bhairaviTransposed/plots/pa/ma_44_ga.png,data/analysis/bhairaviTransposed/plots/pa/ma_44_ga.wav
-1.4807419,1.1067424,1,data/analysis/bhairaviTransposed/plots/pa/ga_45_ma.png,data/analysis/bhairaviTransposed/plots/pa/ga_45_ma.wav
9.0525055,-4.8828673,-1,data/analysis/bhairaviTransposed/plots/pa/sa_46_ma.png,data/analysis/bhairaviTransposed/plots/pa/sa_46_ma.wav
